@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
78,633,1,3466,77,0.978267,0.998423,0.154428,0.998423,0.845572,0.267484,0.981326,1.017422,0
79,633,1,3465,78,0.977985,0.998423,0.154466,0.998423,0.845534,0.26754,0.981087,1.01767,0
80,633,1,3464,79,0.977703,0.998423,0.154503,0.998423,0.845497,0.267597,0.980847,1.017918,0
81,633,1,3463,80,0.97742,0.998423,0.154541,0.998423,0.845459,0.267653,0.980608,1.018167,0
82,633,1,3462,81,0.977138,0.998423,0.154579,0.998423,0.845421,0.26771,0.980369,1.018416,0
83,633,1,3461,82,0.976856,0.998423,0.154617,0.998423,0.845383,0.267766,0.980129,1.018664,0
84,633,1,3460,83,0.976574,0.998423,0.154654,0.998423,0.845346,0.267823,0.97989,1.018913,0
85,633,1,3459,84,0.976291,0.998423,0.154692,0.998423,0.845308,0.26788,0.97965,1.019162,0
86,633,1,3458,85,0.976009,0.998423,0.15473,0.998423,0.84527,0.267937,0.979411,1.019411,0
87,633,1,3457,86,0.975727,0.998423,0.154768,0.998423,0.845232,0.267993,0.979172,1.019661,0
88,633,1,3456,87,0.975445,0.998423,0.154806,0.998423,0.845194,0.26805,0.978932,1.01991,0
89,633,1,3455,88,0.975162,0.998423,0.154843,0.998423,0.845157,0.268107,0.978693,1.020159,0
90,633,1,3454,89,0.97488,0.998423,0.154881,0.998423,0.845119,0.268164,0.978453,1.020409,0
91,633,1,3453,90,0.974598,0.998423,0.154919,0.998423,0.845081,0.26822,0.978214,1.020659,0
92,633,1,3452,91,0.974316,0.998423,0.154957,0.998423,0.845043,0.268277,0.977975,1.020909,0
93,633,1,3451,92,0.974033,0.998423,0.154995,0.998423,0.845005,0.268334,0.977735,1.021159,0
94,633,1,3450,93,0.973751,0.998423,0.155033,0.998423,0.844967,0.268391,0.977496,1.021409,0
95,633,1,3449,94,0.973469,0.998423,0.155071,0.998423,0.844929,0.268448,0.977256,1.021659,0
96,633,1,3448,95,0.973187,0.998423,0.155109,0.998423,0.844891,0.268505,0.977017,1.021909,0
97,633,1,3447,96,0.972904,0.998423,0.155147,0.998423,0.844853,0.268562,0.976778,1.02216,0
98,633,1,3446,97,0.972622,0.998423,0.155185,0.998423,0.844815,0.268619,0.976538,1.02241,0
